ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Digital_Source
Seget-14_heart-1,/records/1920968,Seget,14_heart,bok,bok,b o k,,Berry1987[63],,,^ b o k $,default,https://database.outofpapua.com/records/1920968
Seget-112_goodperson-1,/records/1921064,Seget,112_goodperson,bot,bot,b o t,,Berry1987[73],,,^ b o t $,default,https://database.outofpapua.com/records/1921064
Seget-185_washclothes-2,/records/1921134,Seget,185_washclothes,bus,bus,b u s,,Berry1987[79],,,^ b u s $,default,https://database.outofpapua.com/records/1921134
Seget-80_tree-1,/records/1921033,Seget,80_tree,bwa,bʷa,bʷ a,,Berry1987[69],,,^ bʷ a $,default,https://database.outofpapua.com/records/1921033
Seget-56_jungle-1,/records/1921009,Seget,56_jungle,bwalo,bʷalo,bʷ a l o,,Berry1987[67],,,^ bʷ a l o $,default,https://database.outofpapua.com/records/1921009
Seget-15_legfoot-1,/records/1920969,Seget,15_legfoot,cek agete,cek_aɡete,c e k + a g e t e,,Berry1987[63],,,^ c e k _ a ɡ e t e $,default,https://database.outofpapua.com/records/1920969
Seget-10_finger-1,/records/1920964,Seget,10_finger,cek dula,cek_dula,c e k + d u l a,,Berry1987[63],,,^ c e k _ d u l a $,default,https://database.outofpapua.com/records/1920964
Seget-18_nailfinger-1,/records/1920972,Seget,18_nailfinger,cek kedefea,cek_kedefea,c e k + k e d e f e a,,Berry1987[64],,,^ c e k _ k e d e f e a $,default,https://database.outofpapua.com/records/1920972
Seget-12_hand-1,/records/1920966,Seget,12_hand,cek lam,cek_lam,c e k + l a m,,Berry1987[63],,,^ c e k _ l a m $,default,https://database.outofpapua.com/records/1920966
Seget-23_tongue-1,/records/1920977,Seget,23_tongue,dal,dal,d a l,,Berry1987[64],,,^ d a l $,default,https://database.outofpapua.com/records/1920977
Seget-113_heavystone-1,/records/1921065,Seget,113_heavystone,disok,disok,d i s o k,,Berry1987[73],,,^ d i s o k $,default,https://database.outofpapua.com/records/1921065
Seget-129_straightstick-1,/records/1921080,Seget,129_straightstick,dolot,dolot,d o l o t,,Berry1987[74],,,^ d o l o t $,default,https://database.outofpapua.com/records/1921080
Seget-121_oldhouse-1,/records/1921072,Seget,121_oldhouse,don,don,d o n,,Berry1987[73],,,^ d o n $,default,https://database.outofpapua.com/records/1921072
Seget-5_bone-1,/records/1920959,Seget,5_bone,dus,dus,d u s,,Berry1987[63],,,^ d u s $,default,https://database.outofpapua.com/records/1920959
Seget-11_hairhead-1,/records/1920965,Seget,11_hairhead,enselas,enselas,e n s e l a s,,Berry1987[63],,,^ e ns e l a s $,default,https://database.outofpapua.com/records/1920965
Seget-180_suck-1,/records/1921129,Seget,180_suck,fadaf,fadaf,f a d a f,,Berry1987[78],,,^ f a d a f $,default,https://database.outofpapua.com/records/1921129
Seget-101_yellow-1,/records/1921054,Seget,101_yellow,fafit,fafit,f a f i t,,Berry1987[71],,,^ f a f i t $,default,https://database.outofpapua.com/records/1921054
Seget-170_shootpig-1,/records/1921120,Seget,170_shootpig,fan,fan,f a n,,Berry1987[78],,,^ f a n $,default,https://database.outofpapua.com/records/1921120
Seget-91_four-1,/records/1921044,Seget,91_four,fat,fat,f a t,,Berry1987[70],,,^ f a t $,default,https://database.outofpapua.com/records/1921044
Seget-147_cutgrass-1,/records/1921098,Seget,147_cutgrass,fenes,fenes,f e n e s,,Berry1987[76],,,^ f e n e s $,default,https://database.outofpapua.com/records/1921098
Seget-163_play-1,/records/1921113,Seget,163_play,ferin,ferin,f e r i n,,Berry1987[77],,,^ f e r i n $,default,https://database.outofpapua.com/records/1921113
Seget-167_see-1,/records/1921117,Seget,167_see,folok,folok,f o l o k,,Berry1987[77],,,^ f o l o k $,default,https://database.outofpapua.com/records/1921117
Seget-94_seven-1,/records/1921047,Seget,94_seven,futu,futu,f u t u,,Berry1987[71],,,^ f u t u $,default,https://database.outofpapua.com/records/1921047
Seget-87_they-1,/records/1921040,Seget,87_they,gai,ɡai,g a i,,Berry1987[70],,,^ ɡ a i $,default,https://database.outofpapua.com/records/1921040
Seget-131_that-1,/records/1921082,Seget,131_that,gap,ɡap,g a p,,Berry1987[74],,,^ ɡ a p $,default,https://database.outofpapua.com/records/1921082
Seget-67_salt-1,/records/1921020,Seget,67_salt,gasi,ɡasi,g a s i,,Berry1987[68],,,^ ɡ a s i $,default,https://database.outofpapua.com/records/1921020
Seget-159_hold-1,/records/1921110,Seget,159_hold,gati,ɡati,g a t i,,Berry1987[77],,,^ ɡ a t i $,default,https://database.outofpapua.com/records/1921110
Seget-85_heshe-1,/records/1921038,Seget,85_heshe,gau,ɡau,g a u,,Berry1987[70],,,^ ɡ a u $,default,https://database.outofpapua.com/records/1921038
Seget-169_scratch-1,/records/1921119,Seget,169_scratch,gef,ɡef,g e f,,Berry1987[77],,,^ ɡ e f $,default,https://database.outofpapua.com/records/1921119
Seget-17_mouth-1,/records/1920971,Seget,17_mouth,gif,ɡif,g i f,,Berry1987[64],,,^ ɡ i f $,default,https://database.outofpapua.com/records/1920971
Seget-22_teeth-1,/records/1920976,Seget,22_teeth,gifek,ɡifek,g i f e k,,Berry1987[64],,,^ ɡ i f e k $,default,https://database.outofpapua.com/records/1920976
Seget-8_elbow-1,/records/1920962,Seget,8_elbow,glen,ɡlen,g l e n,,Berry1987[63],,,^ ɡ l e n $,default,https://database.outofpapua.com/records/1920962
Seget-36_mosquito-1,/records/1920990,Seget,36_mosquito,gonof,ɡonof,g o n o f,,Berry1987[65],,,^ ɡ o n o f $,default,https://database.outofpapua.com/records/1920990
Seget-194_outside-1,/records/1921142,Seget,194_outside,gule,ɡule,g u l e,,Berry1987[80],,,^ ɡ u l e $,default,https://database.outofpapua.com/records/1921142
Seget-148_die-1,/records/1921099,Seget,148_die,igi,iɡi,i g i,,Berry1987[76],,,^ i ɡ i $,default,https://database.outofpapua.com/records/1921099
Seget-62_night-1,/records/1921015,Seget,62_night,in,in,i n,,Berry1987[68],,,^ i n $,default,https://database.outofpapua.com/records/1921015
Seget-48_cloud-1,/records/1921002,Seget,48_cloud,inegem,ineɡem,i n e g e m,,Berry1987[66],,,^ i n e ɡ e m $,default,https://database.outofpapua.com/records/1921002
Seget-71_sky-1,/records/1921024,Seget,71_sky,inegem,ineɡem,i n e g e m,,Berry1987[68],,,^ i n e ɡ e m $,default,https://database.outofpapua.com/records/1921024
Seget-25_cassowary-1,/records/1920979,Seget,25_cassowary,kable,kable,k a b l e,,Berry1987[64],,,^ k a b l e $,default,https://database.outofpapua.com/records/1920979
Seget-149_dig-1,/records/1921100,Seget,149_dig,kade,kade,k a d e,,Berry1987[76],,,^ k a d e $,default,https://database.outofpapua.com/records/1921100
Seget-68_sand-1,/records/1921021,Seget,68_sand,kajabu,kaɟabu,k a ɟ a b u,,Berry1987[68],,,^ k a ɟ a b u $,default,https://database.outofpapua.com/records/1921021
Seget-2_back-1,/records/1920956,Seget,2_back,kakudus,kakudus,k a k u d u s,,Berry1987[62],,,^ k a k u d u s $,default,https://database.outofpapua.com/records/1920956
Seget-81_water-1,/records/1921034,Seget,81_water,kala,kala,k a l a,,Berry1987[69],,,^ k a l a $,default,https://database.outofpapua.com/records/1921034
Seget-16_meatflesh-1,/records/1920970,Seget,16_meatflesh,kam,kam,k a m,,Berry1987[63],,,^ k a m $,default,https://database.outofpapua.com/records/1920970
Seget-46_banana-1,/records/1921000,Seget,46_banana,kamuk,kamuk,k a m u k,,Berry1987[66],,,^ k a m u k $,default,https://database.outofpapua.com/records/1921000
Seget-157_hear-1,/records/1921108,Seget,157_hear,kani,kani,k a n i,,Berry1987[76],,,^ k a n i $,default,https://database.outofpapua.com/records/1921108
Seget-175_spit-1,/records/1921124,Seget,175_spit,kapte,kapte,k a p t e,,Berry1987[78],,,^ k a p t e $,default,https://database.outofpapua.com/records/1921124
Seget-4_bodyhair-1,/records/1920958,Seget,4_bodyhair,karagun,karaɡun,k a r a g u n,,Berry1987[62],,,^ k a r a ɡ u n $,default,https://database.outofpapua.com/records/1920958
Seget-65_roof-1,/records/1921018,Seget,65_roof,kate,kate,k a t e,,Berry1987[68],,,^ k a t e $,default,https://database.outofpapua.com/records/1921018
Seget-24_bird-1,/records/1920978,Seget,24_bird,klem,klem,k l e m,,Berry1987[64],,,^ k l e m $,default,https://database.outofpapua.com/records/1920978
Seget-123_thickstick-1,/records/1921083,Seget,123_thickstick,kodomat,kodomat,k o d o m a t,,Berry1987[74],,,^ k o d o m a t $,default,https://database.outofpapua.com/records/1921083
Seget-40_rat-1,/records/1920994,Seget,40_rat,kola,kola,k o l a,,Berry1987[66],,,^ k o l a $,default,https://database.outofpapua.com/records/1920994
Seget-134_this-1,/records/1921085,Seget,134_this,kop,kop,k o p,,Berry1987[74],,,^ k o p $,default,https://database.outofpapua.com/records/1921085
Seget-53_garden-1,/records/1921007,Seget,53_garden,korkwa,korkʷa,k o r kʷ a,,Berry1987[67],,,^ k o r kʷ a $,default,https://database.outofpapua.com/records/1921007
Seget-182_tierope-1,/records/1921131,Seget,182_tierope,kugwa,kuɡʷa,k u gʷ a,,Berry1987[79],,,^ k u ɡʷ a $,default,https://database.outofpapua.com/records/1921131
Seget-164_pull-1,/records/1921114,Seget,164_pull,kulut,kulut,k u l u t,,Berry1987[77],,,^ k u l u t $,default,https://database.outofpapua.com/records/1921114
Seget-98_black-1,/records/1921051,Seget,98_black,kurum,kurum,k u r u m,,Berry1987[71],,,^ k u r u m $,default,https://database.outofpapua.com/records/1921051
Seget-116_longsnake-1,/records/1921068,Seget,116_longsnake,kushek,kuʃek,k u ʃ e k,,Berry1987[73],,,^ k u ʃ e k $,default,https://database.outofpapua.com/records/1921068
Seget-33_leech-1,/records/1920987,Seget,33_leech,kwan,kʷan,kʷ a n,,Berry1987[65],,,^ kʷ a n $,default,https://database.outofpapua.com/records/1920987
Seget-75_stone-1,/records/1921028,Seget,75_stone,kwat,kʷat,kʷ a t,,Berry1987[69],,,^ kʷ a t $,default,https://database.outofpapua.com/records/1921028
Seget-1_abdomen-1,/records/1920955,Seget,1_abdomen,kwei,kʷei,kʷ e i,,Berry1987[62],,,^ kʷ e i $,default,https://database.outofpapua.com/records/1920955
Seget-155_flybird-1,/records/1921106,Seget,155_flybird,kwel,kʷel,kʷ e l,,Berry1987[76],,,^ kʷ e l $,default,https://database.outofpapua.com/records/1921106
Seget-66_rope-1,/records/1921019,Seget,66_rope,kwi,kʷi,kʷ i,,Berry1987[68],,,^ kʷ i $,default,https://database.outofpapua.com/records/1921019
Seget-160_kill-1,/records/1921111,Seget,160_kill,labu,labu,l a b u,,Berry1987[77],,,^ l a b u $,default,https://database.outofpapua.com/records/1921111
Seget-133_thinstick-1,/records/1921084,Seget,133_thinstick,lege,leɡe,l e g e,,Berry1987[74],,,^ l e ɡ e $,default,https://database.outofpapua.com/records/1921084
Seget-58_lightning-1,/records/1921011,Seget,58_lightning,lelek,lelek,l e l e k,,Berry1987[67],,,^ l e l e k $,default,https://database.outofpapua.com/records/1921011
Seget-45_worm-1,/records/1920999,Seget,45_worm,lit,lit,l i t,,Berry1987[66],,,^ l i t $,default,https://database.outofpapua.com/records/1920999
Seget-114_hotwind-1,/records/1921066,Seget,114_hotwind,lobok,lobok,l o b o k,,Berry1987[73],,,^ l o b o k $,default,https://database.outofpapua.com/records/1921066
Seget-183_vomit-1,/records/1921132,Seget,183_vomit,loko,loko,l o k o,,Berry1987[79],,,^ l o k o $,default,https://database.outofpapua.com/records/1921132
Seget-172_sit-1,/records/1921122,Seget,172_sit,lomate,lomate,l o m a t e,,Berry1987[78],,,^ l o m a t e $,default,https://database.outofpapua.com/records/1921122
Seget-144_cough-1,/records/1921095,Seget,144_cough,lon,lon,l o n,,Berry1987[75],,,^ l o n $,default,https://database.outofpapua.com/records/1921095
Seget-122_rottenfruit-1,/records/1921073,Seget,122_rottenfruit,madam,madam,m a d a m,,Berry1987[73],,,^ m a d a m $,default,https://database.outofpapua.com/records/1921073
Seget-109_evilperson-1,/records/1921061,Seget,109_evilperson,madi,madi,m a d i,,Berry1987[72],,,^ m a d i $,default,https://database.outofpapua.com/records/1921061
Seget-92_five-1,/records/1921045,Seget,92_five,mafot,mafot,m a f o t,,Berry1987[71],,,^ m a f o t $,default,https://database.outofpapua.com/records/1921045
Seget-150_dream-1,/records/1921101,Seget,150_dream,malef,malef,m a l e f,,Berry1987[76],,,^ m a l e f $,default,https://database.outofpapua.com/records/1921101
Seget-26_child-1,/records/1920980,Seget,26_child,mam,mam,m a m,,Berry1987[64],,,^ m a m $,default,https://database.outofpapua.com/records/1920980
Seget-28_father-1,/records/1920982,Seget,28_father,mamam,mamam,m a m a m,,Berry1987[65],,,^ m a m a m $,default,https://database.outofpapua.com/records/1920982
Seget-37_mother-1,/records/1920991,Seget,37_mother,mamen,mamen,m a m e n,,Berry1987[65],,,^ m a m e n $,default,https://database.outofpapua.com/records/1920991
Seget-32_husband-1,/records/1920986,Seget,32_husband,manla,manla,m a n l a,,Berry1987[65],,,^ m a n l a $,default,https://database.outofpapua.com/records/1920986
Seget-140_bathe-1,/records/1921091,Seget,140_bathe,maref,maref,m a r e f,,Berry1987[75],,,^ m a r e f $,default,https://database.outofpapua.com/records/1921091
Seget-190_infront-1,/records/1921138,Seget,190_infront,mata,mata,m a t a,,Berry1987[79],,,^ m a t a $,default,https://database.outofpapua.com/records/1921138
Seget-60_mountain-1,/records/1921013,Seget,60_mountain,melasa,melasa,m e l a s a,,Berry1987[67],,,^ m e l a s a $,default,https://database.outofpapua.com/records/1921013
Seget-88_one-1,/records/1921041,Seget,88_one,meridis,meridis,m e r i d i s,,Berry1987[70],,,^ m e r i d i s $,default,https://database.outofpapua.com/records/1921041
Seget-124_sharpstick-1,/records/1921075,Seget,124_sharpstick,minin,minin,m i n i n,,Berry1987[74],,,^ m i n i n $,default,https://database.outofpapua.com/records/1921075
Seget-123_same-1,/records/1921074,Seget,123_same,minisdi,minisdi,m i n i s d i,,Berry1987[74],,,^ m i n i s d i $,default,https://database.outofpapua.com/records/1921074
Seget-31_fly-1,/records/1920985,Seget,31_fly,mlit,mlit,m l i t,,Berry1987[65],,,^ m l i t $,default,https://database.outofpapua.com/records/1920985
Seget-19_neck-1,/records/1920973,Seget,19_neck,modu,modu,m o d u,,Berry1987[64],,,^ m o d u $,default,https://database.outofpapua.com/records/1920973
Seget-135_trulywelltospeak-1,/records/1921086,Seget,135_trulywelltospeak,molo,molo,m o l o,,Berry1987[75],,,^ m o l o $,default,https://database.outofpapua.com/records/1921086
Seget-39_pig-1,/records/1920993,Seget,39_pig,mon,mon,m o n,,Berry1987[65],,,^ m o n $,default,https://database.outofpapua.com/records/1920993
Seget-30_fish-1,/records/1920984,Seget,30_fish,mongkla,moŋkla,m o ŋ k l a,,Berry1987[65],,,^ m o ŋ k l a $,default,https://database.outofpapua.com/records/1920984
Seget-184_walk-1,/records/1921133,Seget,184_walk,mu,mu,m u,,Berry1987[79],,,^ m u $,default,https://database.outofpapua.com/records/1921133
Seget-43_wife-1,/records/1920997,Seget,43_wife,muarigi,muariɡi,m u a r i g i,,Berry1987[66],,,^ m u a r i ɡ i $,default,https://database.outofpapua.com/records/1920997
Seget-105_coldwind-1,/records/1921058,Seget,105_coldwind,mulum,mulum,m u l u m,,Berry1987[72],,,^ m u l u m $,default,https://database.outofpapua.com/records/1921058
Seget-178_stand-1,/records/1921127,Seget,178_stand,nagu,naɡu,n a g u,,Berry1987[78],,,^ n a ɡ u $,default,https://database.outofpapua.com/records/1921127
Seget-158_hit-1,/records/1921109,Seget,158_hit,nala,nala,n a l a,,Berry1987[77],,,^ n a l a $,default,https://database.outofpapua.com/records/1921109
Seget-38_person-1,/records/1920992,Seget,38_person,nalaka,nalaka,n a l a k a,,Berry1987[65],,,^ n a l a k a $,default,https://database.outofpapua.com/records/1920992
Seget-138_afraid-1,/records/1921089,Seget,138_afraid,nalip,nalip,n a l i p,,Berry1987[75],,,^ n a l i p $,default,https://database.outofpapua.com/records/1921089
Seget-143_come-1,/records/1921094,Seget,143_come,nama,nama,n a m a,,Berry1987[75],,,^ n a m a $,default,https://database.outofpapua.com/records/1921094
Seget-187_who-1,/records/1921136,Seget,187_who,namenniwo,namenniwo,n a m e n n i w o,,Berry1987[79],,,^ n a m e nn i w o $,default,https://database.outofpapua.com/records/1921136
Seget-84_yous-1,/records/1921037,Seget,84_yous,nan,nan,n a n,,Berry1987[70],,,^ n a n $,default,https://database.outofpapua.com/records/1921037
Seget-35_male-1,/records/1920989,Seget,35_male,nanla,nanla,n a n l a,,Berry1987[65],,,^ n a n l a $,default,https://database.outofpapua.com/records/1920989
Seget-161_know-1,/records/1921112,Seget,161_know,nap,nap,n a p,,Berry1987[77],,,^ n a p $,default,https://database.outofpapua.com/records/1921112
Seget-29_female-1,/records/1920983,Seget,29_female,narigi,nariɡi,n a r i g i,,Berry1987[65],,,^ n a r i ɡ i $,default,https://database.outofpapua.com/records/1920983
Seget-117_many-1,/records/1921069,Seget,117_many,neban,neban,n e b a n,,Berry1987[73],,,^ n e b a n $,default,https://database.outofpapua.com/records/1921069
Seget-82_wind-1,/records/1921035,Seget,82_wind,neha,neha,n e h a,,Berry1987[69],,,^ n e h a $,default,https://database.outofpapua.com/records/1921035
Seget-142_breathe-1,/records/1921093,Seget,142_breathe,nehen,nehen,n e h e n,,Berry1987[75],,,^ n e h e n $,default,https://database.outofpapua.com/records/1921093
Seget-110_fewstones-1,/records/1921062,Seget,110_fewstones,neiam,neiam,n e i a m,,Berry1987[72],,,^ n e i a m $,default,https://database.outofpapua.com/records/1921062
Seget-52_fruit-1,/records/1921006,Seget,52_fruit,neka,neka,n e k a,,Berry1987[67],,,^ n e k a $,default,https://database.outofpapua.com/records/1921006
Seget-78_thorn-1,/records/1921031,Seget,78_thorn,nekenik,nekenik,n e k e n i k,,Berry1987[69],,,^ n e k e n i k $,default,https://database.outofpapua.com/records/1921031
Seget-47_branch-1,/records/1921001,Seget,47_branch,nelama,nelama,n e l a m a,,Berry1987[66],,,^ n e l a m a $,default,https://database.outofpapua.com/records/1921001
Seget-47_leaf-1,/records/1921010,Seget,47_leaf,nelas,nelas,n e l a s,,Berry1987[67],,,^ n e l a s $,default,https://database.outofpapua.com/records/1921010
Seget-103_all-1,/records/1921056,Seget,103_all,nendik,nendik,n e n d i k,,Berry1987[72],,,^ n e n d i k $,default,https://database.outofpapua.com/records/1921056
Seget-70_seed-1,/records/1921023,Seget,70_seed,neun,neun,n e u n,,Berry1987[68],,,^ n e u n $,default,https://database.outofpapua.com/records/1921023
Seget-49_egg-1,/records/1921003,Seget,49_egg,nevi,nevi,n e v i,,Berry1987[66],,,^ n e v i $,default,https://database.outofpapua.com/records/1921003
Seget-146_cry-1,/records/1921097,Seget,146_cry,ni,ni,n i,,Berry1987[76],,,^ n i $,default,https://database.outofpapua.com/records/1921097
Seget-156_give-1,/records/1921107,Seget,156_give,nit,nit,n i t,,Berry1987[76],,,^ n i t $,default,https://database.outofpapua.com/records/1921107
Seget-173_sleep-1,/records/1921123,Seget,173_sleep,no,no,n o,,Berry1987[78],,,^ n o $,default,https://database.outofpapua.com/records/1921123
Seget-145_count-1,/records/1921096,Seget,145_count,nof,nof,n o f,,Berry1987[75],,,^ n o f $,default,https://database.outofpapua.com/records/1921096
Seget-151_drink-1,/records/1921102,Seget,151_drink,noko,noko,n o k o,,Berry1987[76],,,^ n o k o $,default,https://database.outofpapua.com/records/1921102
Seget-171_sing-1,/records/1921121,Seget,171_sing,nulan,nulan,n u l a n,,Berry1987[78],,,^ n u l a n $,default,https://database.outofpapua.com/records/1921121
Seget-44_wing-1,/records/1920998,Seget,44_wing,nulu,nulu,n u l u,,Berry1987[66],,,^ n u l u $,default,https://database.outofpapua.com/records/1920998
Seget-61_name-1,/records/1921014,Seget,61_name,numu,numu,n u m u,,Berry1987[67],,,^ n u m u $,default,https://database.outofpapua.com/records/1921014
Seget-72_smoke-1,/records/1921025,Seget,72_smoke,nusugwan,nusuɡʷan,n u s u gʷ a n,,Berry1987[68],,,^ n u s u ɡʷ a n $,default,https://database.outofpapua.com/records/1921025
Seget-177_stab-1,/records/1921126,Seget,177_stab,nyat,ɲat,ɲ a t,,Berry1987[78],,,^ ɲ a t $,default,https://database.outofpapua.com/records/1921126
Seget-181_throwstone-1,/records/1921130,Seget,181_throwstone,nyat,ɲat,ɲ a t,,Berry1987[78],,,^ ɲ a t $,default,https://database.outofpapua.com/records/1921130
Seget-108_drygrass-1,/records/1921060,Seget,108_drygrass,okat,okat,o k a t,,Berry1987[72],,,^ o k a t $,default,https://database.outofpapua.com/records/1921060
Seget-126_smalldog-1,/records/1921077,Seget,126_smalldog,olamyam,olamjam,o l a m j a m,,Berry1987[74],,,^ o l a m j a m $,default,https://database.outofpapua.com/records/1921077
Seget-106_different-1,/records/1921059,Seget,106_different,osa,osa,o s a,,Berry1987[72],,,^ o s a $,default,https://database.outofpapua.com/records/1921059
Seget-79_thunder-1,/records/1921032,Seget,79_thunder,rugu,ruɡu,r u g u,,Berry1987[69],,,^ r u ɡ u $,default,https://database.outofpapua.com/records/1921032
Seget-55_house-1,/records/1921008,Seget,55_house,saba,saba,s a b a,,Berry1987[67],,,^ s a b a $,default,https://database.outofpapua.com/records/1921008
Seget-166_rub-1,/records/1921116,Seget,166_rub,sadi,sadi,s a d i,,Berry1987[77],,,^ s a d i $,default,https://database.outofpapua.com/records/1921116
Seget-165_push-1,/records/1921115,Seget,165_push,sadu,sadu,s a d u,,Berry1987[77],,,^ s a d u $,default,https://database.outofpapua.com/records/1921115
Seget-13_head-1,/records/1920967,Seget,13_head,sadus,sadus,s a d u s,,Berry1987[63],,,^ s a d u s $,default,https://database.outofpapua.com/records/1920967
Seget-51_fog-1,/records/1921005,Seget,51_fog,sagom,saɡom,s a g o m,,Berry1987[67],,,^ s a ɡ o m $,default,https://database.outofpapua.com/records/1921005
Seget-119_newhouse-1,/records/1921070,Seget,119_newhouse,sagu,saɡu,s a g u,,Berry1987[73],,,^ s a ɡ u $,default,https://database.outofpapua.com/records/1921070
Seget-3_blood-1,/records/1920957,Seget,3_blood,sedam,sedam,s e d a m,,Berry1987[62],,,^ s e d a m $,default,https://database.outofpapua.com/records/1920957
Seget-100_red-1,/records/1921053,Seget,100_red,sedam,sedam,s e d a m,,Berry1987[71],,,^ s e d a m $,default,https://database.outofpapua.com/records/1921053
Seget-120_not-1,/records/1921071,Seget,120_not,sede,sede,s e d e,,Berry1987[73],,,^ s e d e $,default,https://database.outofpapua.com/records/1921071
Seget-141_blow-1,/records/1921092,Seget,141_blow,segut,seɡut,s e g u t,,Berry1987[75],,,^ s e ɡ u t $,default,https://database.outofpapua.com/records/1921092
Seget-127_smoothstone-1,/records/1921078,Seget,127_smoothstone,seri,seri,s e r i,,Berry1987[74],,,^ s e r i $,default,https://database.outofpapua.com/records/1921078
Seget-128_soreleg-1,/records/1921079,Seget,128_soreleg,sewe,sewe,s e w e,,Berry1987[74],,,^ s e w e $,default,https://database.outofpapua.com/records/1921079
Seget-21_skin-1,/records/1920975,Seget,21_skin,shek,ʃek,ʃ e k,,Berry1987[64],,,^ ʃ e k $,default,https://database.outofpapua.com/records/1920975
Seget-139_ashamed-1,/records/1921090,Seget,139_ashamed,shimein,ʃimein,ʃ i m e i n,,Berry1987[75],,,^ ʃ i m e i n $,default,https://database.outofpapua.com/records/1921090
Seget-9_eye-1,/records/1920963,Seget,9_eye,si,si,s i,,Berry1987[63],,,^ s i $,default,https://database.outofpapua.com/records/1920963
Seget-96_nine-1,/records/1921049,Seget,96_nine,si,si,s i,,Berry1987[71],,,^ s i $,default,https://database.outofpapua.com/records/1921049
Seget-136_wetsand-1,/records/1921087,Seget,136_wetsand,sobam,sobam,s o b a m,,Berry1987[75],,,^ s o b a m $,default,https://database.outofpapua.com/records/1921087
Seget-102_white-1,/records/1921055,Seget,102_white,soko,soko,s o k o,,Berry1987[72],,,^ s o k o $,default,https://database.outofpapua.com/records/1921055
Seget-6_breast-1,/records/1920960,Seget,6_breast,su,su,s u,,Berry1987[63],,,^ s u $,default,https://database.outofpapua.com/records/1920960
Seget-122_rottenfruit-2,/records/1921073,Seget,122_rottenfruit,sumu,sumu,s u m u,,Berry1987[73],,,^ s u m u $,default,https://database.outofpapua.com/records/1921073
Seget-179_stink-1,/records/1921128,Seget,179_stink,sumu,sumu,s u m u,,Berry1987[78],,,^ s u m u $,default,https://database.outofpapua.com/records/1921128
Seget-73_soilearth-1,/records/1921026,Seget,73_soilearth,sungge,suŋɡe,s u ŋ g e,,Berry1987[68],,,^ s u ŋ ɡ e $,default,https://database.outofpapua.com/records/1921026
Seget-20_nose-1,/records/1920974,Seget,20_nose,ta',ta',t a ʔ,,Berry1987[64],,,^ t a ' $,default,https://database.outofpapua.com/records/1920974
Seget-104_bluntstick-1,/records/1921057,Seget,104_bluntstick,takabuk,takabuk,t a k a b u k,,Berry1987[72],,,^ t a k a b u k $,default,https://database.outofpapua.com/records/1921057
Seget-77_sun-1,/records/1921030,Seget,77_sun,tale,tale,t a l e,,Berry1987[69],,,^ t a l e $,default,https://database.outofpapua.com/records/1921030
Seget-152_eat-1,/records/1921103,Seget,152_eat,te,te,t e,,Berry1987[76],,,^ t e $,default,https://database.outofpapua.com/records/1921103
Seget-125_shortsnake-1,/records/1921076,Seget,125_shortsnake,terep,terep,t e r e p,,Berry1987[74],,,^ t e r e p $,default,https://database.outofpapua.com/records/1921076
