ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Digital_Source
Seget-27_dog-1,/records/1920981,Seget,27_dog,afu,afu,a f u,,Berry1987[64],,,^ a f u $,default,https://database.outofpapua.com/records/1920981
Seget-69_sea-1,/records/1921022,Seget,69_sea,alegap,aleɡap,a l e g a p,,Berry1987[68],,,^ a l e ɡ a p $,default,https://database.outofpapua.com/records/1921022
Seget-89_two-1,/records/1921042,Seget,89_two,ali,ali,a l i,,Berry1987[70],,,^ a l i $,default,https://database.outofpapua.com/records/1921042
Seget-195_rightside-1,/records/1921143,Seget,195_rightside,ananeka,ananeka,a n a n e k a,,Berry1987[80],,,^ a n a n e k a $,default,https://database.outofpapua.com/records/1921143
Seget-192_leftside-1,/records/1921140,Seget,192_leftside,anawer,anawer,a n a w e r,,Berry1987[80],,,^ a n a w e r $,default,https://database.outofpapua.com/records/1921140
Seget-93_six-1,/records/1921046,Seget,93_six,anim,anim,a n i m,,Berry1987[71],,,^ a n i m $,default,https://database.outofpapua.com/records/1921046
Seget-176_splitwood-1,/records/1921125,Seget,176_splitwood,arguk,arɡuk,a r g u k,,Berry1987[78],,,^ a r ɡ u k $,default,https://database.outofpapua.com/records/1921125
Seget-168_seek-1,/records/1921118,Seget,168_seek,atung,atuŋ,a t u ŋ,,Berry1987[77],,,^ a t u ŋ $,default,https://database.outofpapua.com/records/1921118
Seget-111_fullbucket-1,/records/1921063,Seget,111_fullbucket,bak,bak,b a k,,Berry1987[73],,,^ b a k $,default,https://database.outofpapua.com/records/1921063
Seget-185_washclothes-1,/records/1921134,Seget,185_washclothes,bam,bam,b a m,,Berry1987[79],,,^ b a m $,default,https://database.outofpapua.com/records/1921134
Seget-99_green-1,/records/1921052,Seget,99_green,bera,bera,b e r a,,Berry1987[71],,,^ b e r a $,default,https://database.outofpapua.com/records/1921052
Seget-115_largedog-1,/records/1921067,Seget,115_largedog,beten,beten,b e t e n,,Berry1987[73],,,^ b e t e n $,default,https://database.outofpapua.com/records/1921067
Seget-137_widepath-1,/records/1921088,Seget,137_widepath,beten,beten,b e t e n,,Berry1987[75],,,^ b e t e n $,default,https://database.outofpapua.com/records/1921088
