NUMBER	ENGLISH	LEXIBANK_GLOSS	INDONESIAN	CLASSIFICATION	PAGE	LOCATOR	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	abdomen	abdomen	perut	NOUNS / Body Parts	62	44	1251	BELLY
2	back	back	punggung	NOUNS / Body Parts	62	44	1291	BACK
3	blood	blood	darah	NOUNS / Body Parts	62	44	946	BLOOD
4	body hair	body hair	bulu badan	NOUNS / Body Parts	62	44	189	HAIR (BODY)
5	bone	bone	tulang	NOUNS / Body Parts	63	45	1394	BONE
6	breast	breast	susu	NOUNS / Body Parts	63	45	1402	BREAST
7	ear	ear	telinga	NOUNS / Body Parts	63	45	1247	EAR
8	elbow	elbow	siku	NOUNS / Body Parts	63	45	981	ELBOW
9	eye	eye	mata	NOUNS / Body Parts	63	45	1248	EYE
10	finger	finger	jari	NOUNS / Body Parts	63	45	1303	FINGER
11	hair (head)	hair (head)	rambut	NOUNS / Body Parts	63	45	2648	HAIR (HEAD)
12	hand	hand	tangan	NOUNS / Body Parts	63	45	1277	HAND
13	head	head	kepala	NOUNS / Body Parts	63	45	1256	HEAD
14	heart	heart	jantung	NOUNS / Body Parts	63	45	1223	HEART
15	leg/foot	leg, foot	kaki	NOUNS / Body Parts	63	45	2098	FOOT OR LEG
16	meat/flesh	meat, flesh	daging	NOUNS / Body Parts	63	45	2615	FLESH OR MEAT
17	mouth	mouth	mulut	NOUNS / Body Parts	64	46	674	MOUTH
18	nail (finger)	nail (finger)	kuku	NOUNS / Body Parts	64	46	1258	FINGERNAIL
19	neck	neck	leher	NOUNS / Body Parts	64	46	1333	NECK
20	nose	nose	hidung	NOUNS / Body Parts	64	46	1221	NOSE
21	skin	skin	kulit	NOUNS / Body Parts	64	46	763	SKIN
22	teeth	teeth	gigi	NOUNS / Body Parts	64	46	1380	TOOTH
23	tongue	tongue	lidah	NOUNS / Body Parts	64	46	1205	TONGUE
24	bird	bird	burung	NOUNS / Animate Nouns	64	46	937	BIRD
25	cassowary	cassowary	kasuari	NOUNS / Animate Nouns	64	46	466	CASSOWARY
26	child	child	anak	NOUNS / Animate Nouns	64	46	2099	CHILD
27	dog	dog	anjing	NOUNS / Animate Nouns	64	46	2009	DOG
28	father	father	bapak	NOUNS / Animate Nouns	65	47	1217	FATHER
29	female	female	perempuan	NOUNS / Animate Nouns	65	47	2105	FEMALE PERSON
30	fish	fish	ikan	NOUNS / Animate Nouns	65	47	227	FISH
31	fly	fly	lalat	NOUNS / Animate Nouns	65	47	1504	FLY (INSECT)
32	husband	husband	suami	NOUNS / Animate Nouns	65	47	1200	HUSBAND
33	leech	leech	lintah	NOUNS / Animate Nouns	65	47	949	WATER LEECH
34	louse	louse	kutu	NOUNS / Animate Nouns	65	47	1392	LOUSE
35	male	male	laki-laki	NOUNS / Animate Nouns	65	47	2106	MALE PERSON
36	mosquito	mosquito	nyamuk	NOUNS / Animate Nouns	65	47	1509	MOSQUITO
37	mother	mother	ibu	NOUNS / Animate Nouns	65	47	1216	MOTHER
38	person	person	orang	NOUNS / Animate Nouns	65	47	683	PERSON
39	pig	pig	babi	NOUNS / Animate Nouns	65	47	1337	PIG
40	rat	rat	tikus	NOUNS / Animate Nouns	66	48	1490	RAT
41	snake	snake	ular	NOUNS / Animate Nouns	66	48	730	SNAKE
42	tail	tail	ekor	NOUNS / Animate Nouns	66	48	1220	TAIL
43	wife	wife	isteri	NOUNS / Animate Nouns	66	48	1199	WIFE
44	wing	wing	sayap	NOUNS / Animate Nouns	66	48	1257	WING
45	worm	worm	cacing (tanah)	NOUNS / Animate Nouns	66	48	1219	WORM
46	banana	banana	pisang	NOUNS / Inanimate Nouns	66	48	868	BANANA
47	branch	branch	cabang	NOUNS / Inanimate Nouns	66	48	1531	BRANCH
48	cloud	cloud	awan	NOUNS / Inanimate Nouns	66	48	1489	CLOUD
49	egg	egg	telur	NOUNS / Inanimate Nouns	66	48	744	EGG
50	fire	fire	api	NOUNS / Inanimate Nouns	67	49	221	FIRE
51	fog	fog	kabut	NOUNS / Inanimate Nouns	67	49	249	FOG
52	fruit	fruit	buah	NOUNS / Inanimate Nouns	67	49	1507	FRUIT
53	garden	garden	kebun	NOUNS / Inanimate Nouns	67	49	586	GARDEN
54	grass	grass	alang-alang	NOUNS / Inanimate Nouns	67	49	606	GRASS
55	house	house	rumah	NOUNS / Inanimate Nouns	67	49	1252	HOUSE
56	jungle	jungle	hutan	NOUNS / Inanimate Nouns	67	49	3808	JUNGLE
47	leaf	leaf	daun	NOUNS / Inanimate Nouns	67	49	628	LEAF
58	lightning	lightning	kilat	NOUNS / Inanimate Nouns	67	49	1654	LIGHTNING
59	moon	moon	bulan	NOUNS / Inanimate Nouns	67	49	1313	MOON
60	mountain	mountain	gunung	NOUNS / Inanimate Nouns	67	49	639	MOUNTAIN
61	name	name	nama	NOUNS / Inanimate Nouns	67	49	1405	NAME
62	night	night	malam	NOUNS / Inanimate Nouns	68	50	1233	NIGHT
63	path	path	jalan	NOUNS / Inanimate Nouns	68	50	2252	PATH
